id,name,latitude,longitude,dpcapacity,dateCreated
43,Michigan Ave & Washington St,41.88389277,-87.62464914,43,16-06-2013
44,State St & Randolph St,41.8847302,-87.62773357,27,16-06-2013
33,State St & Van Buren St,41.877181,-87.627844,27,25-06-2013
199,Wabash Ave & Grand Ave,41.891738,-87.626937,15,10-08-2013
51,Clark St & Randolph St,41.88457623,-87.63188991,31,17-06-2013
98,LaSalle St & Washington St,41.882664,-87.63253,15,15-07-2013
286,Franklin St & Quincy St,41.878724,-87.634793,23,14-09-2013
90,Millennium Park,41.8810317,-87.62408432,35,16-06-2013
50,Clark St & Congress Pkwy,41.87593267,-87.63058454,27,16-06-2013
91,Clinton St & Washington Blvd,41.88338,-87.64117,31,27-06-2013
192,Canal St & Adams St,41.878948,-87.63975,39,07-08-2013
48,Larrabee St & Kingsbury St,41.897764,-87.642884,27,16-06-2013
100,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,23,16-07-2013
106,State St & Pearson St,41.897448,-87.628722,27,01-08-2013
211,St Clair St & Erie St,41.894448,-87.622663,19,15-08-2013
31,Franklin St & Chicago Ave,41.89680204,-87.63563839,23,22-06-2013
36,Franklin St & Jackson Blvd,41.87770796,-87.63532114,31,15-06-2013
37,Dearborn St & Adams St,41.87935636,-87.62979104,19,16-06-2013
66,Clinton St & Lake St,41.88583274,-87.64138231,19,20-06-2013
35,Streeter Dr & Illinois St,41.891071,-87.6122,39,05-08-2013
81,Daley Center Plaza,41.884163,-87.629635,39,13-06-2013
58,Marshfield Ave & Cortland St,41.916017,-87.668879,19,18-06-2013
344,Wolcott Ave & Lawrence Ave,41.968641,-87.676335,15,09-10-2013
108,Halsted St & Polk St,41.87184,-87.64664,19,06-08-2013
109,900 W Harrison,41.874675,-87.650019,19,06-08-2013
97,Museum Campus,41.865212,-87.617759,35,26-06-2013
5,State St & Harrison St,41.87395806,-87.62773949,19,18-06-2013
59,Wabash Ave & Roosevelt Rd,41.867173,-87.62595501,19,18-06-2013
283,LaSalle St & Jackson Blvd,41.87817,-87.631985,23,14-09-2013
84,Green St & Milwaukee Ave,41.891733,-87.648727,19,26-06-2013
25,Michigan Ave & Pearson St,41.89766,-87.62351,23,22-06-2013
197,Michigan Ave & Madison St,41.882134,-87.625125,19,10-08-2013
68,Clinton St & Tilden St,41.875885,-87.640795,23,24-06-2013
73,Jefferson St & Monroe St,41.880422,-87.642746,19,27-06-2013
56,Desplaines St & Kinzie St,41.88871604,-87.64444785,19,17-06-2013
45,Michigan Ave & Congress Pkwy,41.8760656,-87.62443336,15,16-06-2013
85,Michigan Ave & Oak St,41.90096039,-87.62377664,23,21-06-2013
52,Michigan Ave & Lake St,41.886024,-87.624117,31,17-06-2013
54,Ogden Ave & Chicago Ave,41.89636246,-87.65406127,19,17-06-2013
110,State St & Erie St,41.893975,-87.628623,23,01-08-2013
46,Wells St & Walton St,41.89993001,-87.63443007,19,14-06-2013
264,Stetson Ave & South Water St,41.886835,-87.62232,19,18-09-2013
49,Dearborn St & Monroe St,41.88131982,-87.62952092,27,16-06-2013
47,State St & Kinzie St,41.88918,-87.6277,19,18-06-2013
26,McClurg Ct & Illinois St,41.89102,-87.6173,31,22-06-2013
111,Sedgwick St & Huron St,41.894666,-87.638437,19,01-08-2013
112,Green St & Randolph St,41.884078,-87.648684,15,29-07-2013
321,Wabash Ave & 8th St,41.871962,-87.626106,19,21-09-2013
191,Canal St & Monroe St,41.8807,-87.63947,23,07-08-2013
287,Franklin St & Arcade Pl,41.881469,-87.635177,27,13-09-2013
60,Dayton St & North Ave,41.91057803,-87.64942193,19,18-06-2013
113,Bissell St & Armitage Ave,41.91844,-87.65222,15,05-09-2013
67,Sheffield Ave & Fullerton Ave,41.92560188,-87.65370804,15,20-06-2013
210,Ashland Ave & Division St,41.903448,-87.669313,19,16-08-2013
114,Sheffield Ave & Addison St,41.94688,-87.65445,27,02-08-2013
240,Sheridan Rd & Irving Park Rd,41.954245,-87.654406,23,21-08-2013
53,Wells St & Erie St,41.893832,-87.634195,19,17-06-2013
69,Damen Ave & Pierce Ave,41.90939601,-87.67769193,19,24-06-2013
13,Wilton Ave & Diversey Pkwy,41.93250008,-87.65268082,19,20-06-2013
115,Sheffield Ave & Wellington Ave,41.936253,-87.653566,23,22-07-2013
116,Western Ave & Winnebago Ave,41.915533,-87.687051,15,26-07-2013
117,Wilton Ave & Belmont Ave,41.94018,-87.65304,23,02-08-2013
118,Sedgwick St & North Ave,41.910579,-87.638618,19,01-08-2013
229,Southport Ave & Roscoe St,41.943739,-87.66402,19,29-08-2013
71,Morgan St & Lake St,41.88548331,-87.65230486,15,24-06-2013
119,Ashland Ave & Lake St,41.88541,-87.66732,19,28-07-2013
293,Broadway & Wilson Ave,41.965485,-87.657238,19,18-09-2013
120,Wentworth Ave & Archer Ave,41.854564,-87.631937,15,06-08-2013
32,Racine Ave & Congress Pkwy,41.87464,-87.65703,19,21-06-2013
330,Lincoln Ave & Addison St,41.946176,-87.673308,19,26-09-2013
230,Lincoln Ave & Roscoe St,41.94334,-87.67097,19,20-08-2013
261,Hermitage Ave & Polk St,41.871514,-87.669886,15,05-09-2013
122,Ogden Ave & Congress Pkwy,41.87501,-87.67328,15,28-07-2013
184,State St & 35th St,41.83104,-87.62688,19,03-08-2013
201,Indiana Ave & 40th St,41.82168,-87.6216,15,14-08-2013
123,California Ave & Milwaukee Ave,41.922695,-87.697153,15,26-07-2013
260,Kedzie Ave & Milwaukee Ave,41.929567,-87.707857,19,17-09-2013
271,Cottage Grove Ave & 43rd St,41.816499,-87.606582,11,12-09-2013
244,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,19,22-08-2013
205,Paulina St & 18th St,41.857901,-87.668745,15,15-08-2013
124,Damen Ave & Cullerton St,41.855048,-87.675726,15,03-08-2013
200,King Dr & 47th St,41.809851,-87.616279,11,14-08-2013
203,Western Ave & 21st St,41.85394,-87.685243,15,15-08-2013
238,Ravenswood Ave & Montrose Ave,41.961626,-87.674101,15,22-08-2013
242,Damen Ave & Leland Ave,41.967094,-87.679028,15,22-08-2013
348,California Ave & 21st St,41.854016,-87.695445,15,14-10-2013
280,Morgan St & 31st St,41.8378,-87.65114,11,13-09-2013
206,Halsted St & Archer Ave,41.847203,-87.646795,15,14-08-2013
202,Halsted St & 18th St,41.857499,-87.646277,15,15-08-2013
204,Prairie Ave & Garfield Blvd,41.794853,-87.618691,15,14-08-2013
338,Calumet Ave & 18th St,41.857611,-87.619407,15,28-09-2013
253,Clifton Ave & Lawrence Ave,41.968873,-87.658857,15,05-09-2013
62,McCormick Place,41.85137517,-87.61883465,27,18-06-2013
295,Broadway & Argyle St,41.972972,-87.659637,15,18-09-2013
294,Broadway & Berwyn Ave,41.978353,-87.659753,15,18-09-2013
239,Western Ave & Leland Ave,41.966555,-87.688487,15,21-08-2013
267,Lake Park Ave & 47th St,41.809443,-87.591875,15,17-09-2013
345,Lake Park Ave & 56th St,41.793242,-87.587782,15,09-10-2013
220,Hampden Ct & Diversey Pkwy,41.93262,-87.642385,19,19-08-2013
34,Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,15,27-06-2013
243,Lincoln Ave & Leavitt St,41.962391,-87.684146,15,22-08-2013
299,Halsted St & Roscoe St,41.943662,-87.648917,15,19-09-2013
126,Clark St & North Ave,41.911974,-87.631942,15,29-07-2013
231,Sheridan Rd & Montrose Ave,41.96167,-87.65464,15,20-08-2013
127,Lincoln Ave & Fullerton Ave,41.925905,-87.64926,15,29-10-2013
128,Damen Ave & Chicago Ave,41.895769,-87.67722,15,03-08-2013
219,Damen Ave & Cortland St,41.916027,-87.677411,11,20-08-2013
215,Damen Ave & Madison St,41.88137,-87.67493,15,15-08-2013
129,Blue Island Ave & 18th St,41.857556,-87.661535,15,25-07-2013
130,Damen Ave & Division St,41.90331,-87.67695,15,26-07-2013
300,Broadway & Barry Ave,41.937601,-87.644005,15,19-09-2013
75,Canal St & Jackson Blvd,41.877988,-87.640769,23,15-06-2013
19,Loomis St & Taylor St,41.869417,-87.660996,15,21-06-2013
131,Lincoln Ave & Belmont Ave,41.939365,-87.668385,15,23-09-2013
214,Damen Ave & Grand Ave,41.89122,-87.67686,15,16-08-2013
183,Damen Ave & Augusta Blvd,41.899714,-87.677234,15,26-07-2013
228,Damen Ave & Melrose Ave,41.9406,-87.6785,11,20-08-2013
308,Seeley Ave & Roscoe St,41.943403,-87.679618,11,27-09-2013
258,Logan Blvd & Elston Ave,41.930584,-87.685126,19,09-09-2013
94,Clark St & Armitage Ave,41.918306,-87.636282,19,22-06-2013
313,Lakeview Ave & Fullerton Pkwy,41.925858,-87.638973,19,20-09-2013
72,State St & 16th St,41.86012138,-87.62772919,15,24-06-2013
132,Wentworth Ave & 24th St,41.849237,-87.631715,15,05-09-2013
273,Michigan Ave & 18th St,41.857937,-87.623633,15,12-09-2013
20,Sheffield Ave & Kingsbury St,41.90959193,-87.65349723,15,21-06-2013
88,May St & Randolph St,41.88397,-87.655688,15,27-06-2013
80,Aberdeen St & Madison St,41.881487,-87.654752,19,26-06-2013
21,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,15,21-06-2013
134,Peoria St & Jackson Blvd,41.877749,-87.649633,19,25-07-2013
198,Halsted St & Madison St,41.88175,-87.6478,19,10-08-2013
22,May St & Taylor St,41.8694821,-87.6554864,15,21-06-2013
282,Halsted St & Maxwell St,41.86458,-87.64693,15,13-09-2013
135,Halsted St & 21st St,41.85378,-87.64665,11,24-07-2013
14,Morgan St & 18th St,41.858086,-87.651073,15,20-06-2013
15,Racine Ave & 18th St,41.85818061,-87.65648665,15,20-06-2013
136,Racine Ave & 13th St,41.865054,-87.656959,15,31-07-2013
55,Halsted St & James M Rochford St,41.865861,-87.646611,15,17-06-2013
241,Morgan St & Polk St,41.871737,-87.65103,15,22-08-2013
137,Morgan Ave & 14th Pl,41.862378,-87.651062,15,31-07-2013
42,Wabash Ave & Cermak Rd,41.85323876,-87.62533709,15,18-06-2013
138,Clybourn Ave & Division St,41.904509,-87.6405,15,05-08-2013
23,Orleans St & Elm St,41.902924,-87.637715,15,21-06-2013
140,Dearborn Pkwy & Delaware Pl,41.899007,-87.629928,19,01-08-2013
27,Larrabee St & North Ave,41.91021,-87.6435,19,22-06-2013
331,Halsted St & Blackhawk St,41.90854,-87.648568,19,28-09-2013
141,Clark St & Lincoln Ave,41.915689,-87.6346,23,16-08-2013
218,Wells St & 19th St,41.856802,-87.633879,11,23-08-2013
224,Halsted St & Willow St,41.913778,-87.64884,19,22-08-2013
289,Wells St & Concord Ln,41.912202,-87.634664,19,14-09-2013
288,Larrabee St & Armitage Ave,41.91797,-87.64368,11,13-09-2013
223,Clifton Ave & Armitage Ave,41.918216,-87.656936,15,22-08-2013
307,Southport Ave & Clybourn Ave,41.921004,-87.663257,15,25-09-2013
327,Sheffield Ave & Webster Ave,41.921687,-87.653714,19,25-09-2013
87,Racine Ave & Fullerton Ave,41.92556258,-87.65840426,19,26-06-2013
93,Sheffield Ave & Willow St,41.913688,-87.652855,15,27-06-2013
143,Sedgwick St & Webster Ave,41.92197,-87.63854,15,03-08-2013
225,Halsted St & Dickens Ave,41.919936,-87.64883,15,19-08-2013
144,Larrabee St & Webster Ave,41.92175,-87.64401,15,02-08-2013
186,Ogden Ave & Race Ave,41.891795,-87.658751,15,28-07-2013
92,Carpenter St & Huron St,41.894556,-87.653449,19,26-06-2013
217,May St & Fulton St,41.886773,-87.656001,15,16-08-2013
301,Clark St & Schiller St,41.907993,-87.631501,19,19-09-2013
146,Loomis St & Jackson Blvd,41.877945,-87.662007,11,28-07-2013
332,Halsted St & Diversey Pkwy,41.933341,-87.648747,15,28-09-2013
340,Clark St & Wrightwood Ave,41.929546,-87.643118,15,24-10-2013
349,Halsted St & Wrightwood Ave,41.929143,-87.649077,15,28-10-2013
302,Sheffield Ave & Wrightwood Ave,41.928712,-87.653833,19,20-09-2013
147,Indiana Ave & 26th St,41.8457,-87.62248,15,23-07-2013
193,State St & 29th St,41.841707,-87.626938,15,23-08-2013
237,Martin Luther King Dr & 29th St,41.842052,-87.617,15,21-08-2013
263,Rhodes Ave & 32nd St,41.836208,-87.613533,11,17-09-2013
148,State St & 33rd St,41.834734,-87.625813,11,27-08-2013
149,Calumet Ave & 33rd St,41.8349,-87.61793,11,03-08-2013
272,Indiana Ave & 31st St,41.838842,-87.621857,11,12-09-2013
150,Fort Dearborn Dr & 31st St,41.838556,-87.608218,11,23-07-2013
61,Wood St & Milwaukee Ave,41.907655,-87.672552,15,18-06-2013
16,Wood St & North Ave,41.910329,-87.672516,11,12-08-2013
333,Ashland Ave & Blackhawk St,41.907066,-87.667252,15,27-09-2013
152,Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,15,29-07-2013
153,Southport Ave & Wellington Ave,41.935733,-87.663576,19,25-07-2013
154,Southport Ave & Belmont Ave,41.93949,-87.66378,15,29-07-2013
226,Racine Ave & Belmont Ave,41.939743,-87.658865,15,19-08-2013
156,Clark St & Wellington Ave,41.93649682,-87.64753866,15,02-08-2013
334,Lake Shore Dr & Belmont Ave,41.940775,-87.639192,19,27-09-2013
157,Lake Shore Dr & Wellington Ave,41.936669,-87.636794,15,01-08-2013
227,Southport Ave & Waveland Ave,41.94815,-87.66394,15,20-08-2013
311,Lincoln Ave & Eastwood Ave,41.96583,-87.68651,15,20-09-2013
326,Clark St & Leland Ave,41.967096,-87.667429,11,27-09-2013
305,Western Ave & Division St,41.902893,-87.687275,15,21-09-2013
222,Milwaukee Ave & Rockwell St,41.920195,-87.693033,19,22-08-2013
158,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,15,26-07-2013
213,Leavitt St & North Ave,41.910153,-87.68229,15,16-08-2013
159,Claremont Ave & Hirsch St,41.907781,-87.685854,9,26-07-2013
17,Wood St & Division St,41.90332,-87.67273,15,20-06-2013
350,Ashland Ave & Chicago Ave,41.895966,-87.667747,15,22-10-2013
30,Ashland Ave & Augusta Blvd,41.899643,-87.6677,15,22-06-2013
246,Ashland Ave & Belle Plaine Ave,41.956061,-87.668869,11,26-08-2013
297,Paulina St & Montrose Ave,41.961507,-87.671387,15,18-09-2013
314,Ravenswood Ave & Berteau Ave,41.957921,-87.673567,15,27-09-2013
298,Lincoln Ave & Belle Plaine Ave,41.955927,-87.679259,15,01-10-2013
257,Lincoln Ave & Waveland Ave,41.94911,-87.675112,15,09-09-2013
315,Leavitt St & Hirsch St,41.906717,-87.682779,11,21-09-2013
216,California Ave & Division St,41.903029,-87.697474,15,16-08-2013
160,Campbell Ave & North Ave,41.910535,-87.689556,15,26-07-2013
276,California Ave & North Ave,41.91044,-87.6972,11,12-09-2013
259,California Ave & Francis Pl,41.91855,-87.69723,15,12-09-2013
24,Fairbanks Ct & Grand Ave,41.89186,-87.62062,15,21-06-2013
195,Columbus Dr & Randolph St,41.884728,-87.619521,31,10-08-2013
212,Wells St & Hubbard St,41.889933,-87.634262,31,16-08-2013
74,Kingsbury St & Erie St,41.89384315,-87.64185116,23,14-06-2013
185,Stave St & Armitage Ave,41.917741,-87.691392,11,26-07-2013
162,Damen Ave & Wellington Ave,41.93588,-87.67842,14,25-07-2013
250,Ashland Ave & Wellington Ave,41.936083,-87.669807,19,26-08-2013
163,Paulina St & Diversey Pkwy,41.93186,-87.67079,15,29-07-2013
164,Franklin St & Lake St,41.885837,-87.6355,23,03-08-2013
232,Pine Grove Ave & Waveland Ave,41.949275,-87.646303,23,21-08-2013
165,Clark St & Waveland Ave,41.94893,-87.65775,19,03-08-2013
324,Stockton Dr & Wrightwood Ave,41.93132,-87.638742,15,03-10-2013
296,Broadway & Belmont Ave,41.940106,-87.645451,15,18-09-2013
303,Broadway & Cornelia Ave,41.945512,-87.64598,15,19-09-2013
28,Larrabee St & Menomonee St,41.91468,-87.64332,15,22-06-2013
342,Wolcott Ave & Polk St,41.871262,-87.673688,15,12-10-2013
317,Wood St & Taylor St,41.869154,-87.671045,15,21-09-2013
309,Leavitt St & Armitage Ave,41.917805,-87.682437,11,20-09-2013
310,Damen Ave & Charleston St,41.920082,-87.677855,11,20-09-2013
86,Eckhart Park,41.89637337,-87.66098386,15,26-06-2013
29,Noble St & Milwaukee Ave,41.90068,-87.6626,15,22-06-2013
290,Kedzie Ave & Palmer Ct,41.921525,-87.707322,15,09-10-2013
319,Greenview Ave & Diversey Pkwy,41.932595,-87.665939,15,26-09-2013
188,Greenview Ave & Fullerton Ave,41.92533,-87.6658,15,29-07-2013
166,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,15,25-07-2013
343,Racine Ave & Wrightwood Ave,41.928887,-87.658971,15,24-10-2013
190,Southport Ave & Wrightwood Ave,41.92888,-87.66317,15,06-08-2013
76,Lake Shore Dr & Monroe St,41.880958,-87.616743,39,24-06-2013
77,Clinton St & Madison St,41.8815824,-87.64127743,23,15-06-2013
291,Wells St & Evergreen Ave,41.906724,-87.63483,19,14-09-2013
337,Clark St & Chicago Ave,41.896544,-87.630931,19,27-09-2013
274,Racine Ave & 15th St,41.861267,-87.656625,15,12-09-2013
167,Damen Ave & Coulter St,41.8492,-87.67564,11,25-07-2013
208,Ashland Ave & 21st St,41.85381,-87.665897,15,15-08-2013
209,Normal Ave & Archer Ave,41.849527,-87.640591,11,15-08-2013
255,Indiana Ave & Roosevelt Rd,41.867888,-87.623041,31,05-09-2013
168,Michigan Ave & 14th St,41.864059,-87.623727,19,03-08-2013
316,Damen Ave & Sunnyside Ave,41.96325,-87.679258,19,25-09-2013
234,Clark St & Montrose Ave,41.961588,-87.666036,19,21-08-2013
292,Southport Ave & Clark St,41.957081,-87.664199,11,14-09-2013
347,Ashland Ave & Grace St,41.950687,-87.6687,15,12-10-2013
318,Southport Ave & Irving Park Rd,41.954177,-87.664358,15,21-09-2013
256,Broadway & Sheridan Rd,41.952833,-87.649993,15,05-09-2013
254,Pine Grove Ave & Irving Park Rd,41.954383,-87.648043,15,09-09-2013
304,Halsted St & Waveland Ave,41.949375,-87.649626,15,19-09-2013
169,Canal St & Harrison St,41.874337,-87.639566,15,23-07-2013
57,Clinton St & Roosevelt Rd,41.86711778,-87.64108796,15,17-06-2013
268,Lake Shore Dr & North Blvd,41.911722,-87.626804,15,12-09-2013
170,Clinton St & 18th St,41.85795,-87.640826,15,25-07-2013
171,May St & Cullerton St,41.855136,-87.654127,11,25-07-2013
320,Loomis St & Lexington St,41.872187,-87.661501,15,21-09-2013
99,Lake Shore Dr & Ohio St,41.89257,-87.614492,19,15-07-2013
173,Mies van der Rohe Way & Chicago Ave,41.89691,-87.621743,15,01-08-2013
194,State St & Wacker Dr,41.887155,-87.62775,11,10-08-2013
284,Michigan Ave & Jackson Blvd,41.87785,-87.62408,23,14-09-2013
174,Canal St & Madison St,41.882091,-87.639833,23,28-07-2013
175,Wells St & Polk St,41.872373,-87.633523,19,03-08-2013
335,Calumet Ave & 35th St,41.831379,-87.618034,15,17-10-2013
265,Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,15,17-09-2013
329,Lake Shore Dr & Diversey Pkwy,41.932684,-87.63625,15,25-09-2013
176,Clark St & Elm St,41.903233,-87.631253,19,01-08-2013
177,Theater on the Lake,41.926277,-87.630834,15,13-08-2013
346,Ada St & Washington Blvd,41.88283,-87.661206,15,10-10-2013
275,Ashland Ave & 13th St,41.865234,-87.666507,15,12-09-2013
247,Shore Drive & 55th St,41.795212,-87.580715,15,23-08-2013
248,Woodlawn Ave & 55th St,41.795264,-87.596471,15,23-08-2013
328,Ellis Ave & 58th St,41.788746,-87.601334,15,25-09-2013
306,Sheridan Rd & Buena Ave,41.9584,-87.65423,15,23-09-2013
312,Clarendon Ave & Gordon Ter,41.957879,-87.649519,15,20-09-2013
323,Sheridan Rd & Lawrence Ave,41.969517,-87.654691,15,23-09-2013
251,Clarendon Ave & Leland Ave,41.967968,-87.650001,15,26-08-2013
249,Montrose Harbor,41.963982,-87.638181,15,26-08-2013
245,Clarendon Ave & Junior Ter,41.961004,-87.649603,15,26-08-2013
325,Clark St & Winnemac Ave,41.973385,-87.668365,15,23-09-2013
281,Western Ave & 24th St,41.84847,-87.685109,15,13-09-2013
252,Greenwood Ave & 47th St,41.809835,-87.599383,15,27-08-2013
322,Kimbark Ave & 53rd St,41.799568,-87.594747,15,21-09-2013
121,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,15,28-08-2013
207,Emerald Ave & 28th St,41.84358,-87.645368,15,15-08-2013
339,Emerald Ave & 31st St,41.838198,-87.645143,11,28-09-2013
178,State St & 19th St,41.856594,-87.627542,15,23-07-2013
233,Sangamon St & Washington Blvd,41.883004,-87.651148,15,29-08-2013
236,Sedgwick St & Schiller St,41.907576,-87.638517,15,21-08-2013
279,Halsted St & 35th St,41.830661,-87.647172,15,13-09-2013
262,Halsted St & 37th St,41.827071,-87.645801,11,01-10-2013
278,Wallace Ave & 35th St,41.830629,-87.64129,15,13-09-2013
179,Martin Luther King Dr & Oakwood Blvd,41.82256,-87.61615,15,24-07-2013
336,Cottage Grove Ave & 47th St,41.809855,-87.606755,15,17-10-2013
196,Cityfront Plaza & N Water St,41.889875,-87.621994,19,10-08-2013
181,LaSalle St & Illinois St,41.890749,-87.63206,31,21-07-2013
341,Adler Planetarium,41.866095,-87.607267,19,09-10-2013
285,Wood St & Grand Ave,41.89113,-87.67203,15,13-09-2013
277,Ashland Ave & Grand Ave,41.891072,-87.666611,15,12-09-2013
351,Cottage Grove Ave & 51st St,41.803038,-87.606615,15,17-10-2013
